path,scan_and_pvol_count,error_no_vradh,radar
czechia/2012/20120415.tgz,186,186,czbrd|czska
czechia/2012/20120416.tgz,188,188,czbrd|czska
czechia/2012/20120417.tgz,192,192,czbrd|czska
czechia/2012/20120418.tgz,191,191,czbrd|czska
czechia/2012/20120419.tgz,176,176,czbrd|czska
czechia/2012/20120420.tgz,180,180,czbrd|czska
czechia/2012/20120421.tgz,188,188,czbrd|czska
czechia/2012/20120422.tgz,192,192,czbrd|czska
czechia/2012/20120423.tgz,171,171,czbrd|czska
czechia/2012/20120424.tgz,181,181,czbrd|czska
czechia/2012/20120425.tgz,151,151,czbrd|czska
czechia/2012/20120426.tgz,192,192,czbrd|czska
czechia/2012/20120427.tgz,168,168,czbrd|czska
czechia/2012/20120428.tgz,181,181,czbrd|czska
czechia/2012/20120429.tgz,177,177,czbrd|czska
czechia/2012/20120430.tgz,176,176,czbrd|czska
czechia/2012/20120501.tgz,189,189,czbrd|czska
czechia/2012/20120502.tgz,192,192,czbrd|czska
czechia/2012/20120503.tgz,189,189,czbrd|czska
czechia/2012/20120504.tgz,192,192,czbrd|czska
czechia/2012/20120505.tgz,192,192,czbrd|czska
czechia/2012/20120506.tgz,192,192,czbrd|czska
czechia/2012/20120507.tgz,192,192,czbrd|czska
czechia/2012/20120508.tgz,191,191,czbrd|czska
czechia/2012/20120509.tgz,192,192,czbrd|czska
czechia/2012/20120510.tgz,192,192,czbrd|czska
czechia/2012/20120511.tgz,192,192,czbrd|czska
czechia/2012/20120512.tgz,192,192,czbrd|czska
czechia/2012/20120513.tgz,192,192,czbrd|czska
czechia/2012/20120514.tgz,192,192,czbrd|czska
czechia/2012/20120515.tgz,192,192,czbrd|czska
czechia/2012/20120516.tgz,192,192,czbrd|czska
czechia/2012/20120517.tgz,185,185,czbrd|czska
czechia/2012/20120518.tgz,192,192,czbrd|czska
czechia/2012/20120519.tgz,192,192,czbrd|czska
czechia/2012/20120520.tgz,192,192,czbrd|czska
czechia/2012/20120521.tgz,192,192,czbrd|czska
czechia/2012/20120522.tgz,192,192,czbrd|czska
czechia/2012/20120523.tgz,192,192,czbrd|czska
czechia/2012/20120524.tgz,192,192,czbrd|czska
czechia/2012/20120525.tgz,192,192,czbrd|czska
czechia/2012/20120526.tgz,192,192,czbrd|czska
czechia/2012/20120527.tgz,192,192,czbrd|czska
czechia/2012/20120528.tgz,192,192,czbrd|czska
czechia/2012/20120529.tgz,192,192,czbrd|czska
czechia/2012/20120530.tgz,192,192,czbrd|czska
czechia/2012/20120531.tgz,192,192,czbrd|czska
czechia/2013/20130815.tgz,106,106,czbrd|czska
czechia/2013/20130816.tgz,167,167,czbrd|czska
czechia/2013/20130817.tgz,192,192,czbrd|czska
czechia/2013/20130818.tgz,192,192,czbrd|czska
czechia/2013/20130819.tgz,192,192,czbrd|czska
